material;id_tienda;stock_restaurado
000000000000185022;3225;118
000000000000052531;3211;75
000000000000639501;3088;143
000000000000139890;3098;26
000000000400329002;3085;645
000000000400329009;3089;430
000000000000005756;3091;6162
000000000000718537;3187;2389
000000000000752668;3212;84
000000000000712440;3187;286
000000000000663845;3098;244
000000000000007101;3206;153
000000000000506264;3093;36
000000000000604494;3085;17
000000000000199738;3094;169
000000000624299003;3093;98
000000000000612035;3093;148
000000000401864001;3094;63
000000000000355622;3086;352
000000000000213721;3212;49
000000000000006495;3088;88
000000000000661120;3074;157
000000000000145903;3211;337
000000000000355622;3172;528
000000000000641114;3086;49
000000000401724015;3180;866
000000000000355005;3092;47
000000000000530964;3206;15
000000000000622474;3074;60
000000000000569209;3180;50
000000000000064466;3091;18
000000000000666166;3206;20
000000000000214184;3094;92
000000000000053845;3206;613
000000000000215155;3085;136
000000000000576448;3223;24
000000000000981938;3085;101
000000000000646070;3085;110
000000000000640068;3085;28
000000000000145237;3193;379
000000000621962002;3225;25
000000000000567912;3225;34
000000000000281009;3211;147
000000000000358031;3211;36
000000000000547306;3172;16
000000000000667422;3212;138
000000000000661118;3085;472
000000000000639695;3074;69
000000000401864001;3187;11
000000000000628113;3091;489
000000000000635083;3225;47
000000000000005759;3212;17
000000000402629004;3089;258
000000000000006552;3091;559
000000000000004973;3098;31
000000000666059002;3172;38
000000000650100001;3206;108
000000000000612504;3172;47
000000000000121949;3089;56
000000000000621035;3085;148
000000000000955614;3086;17
000000000000622474;3088;77
000000000402053001;3093;55
000000000000133342;3180;55
000000000000662371;3187;131
000000000000018286;3089;114
000000000000006203;3085;10
000000000000665845;3089;40
000000000000128223;3094;187
000000000000018137;3089;17
000000000000883202;3211;60
000000000000030965;3212;185
000000000000180017;3092;25
000000000000638621;3172;20
000000000000321096;3089;95
000000000000892231;3093;14
000000000000561242;3223;30
000000000000625402;3086;44
000000000000005757;3172;212
000000000000032136;3223;115
000000000000146527;3093;38
000000000000647468;3206;51
000000000000031221;3092;21
000000000000629757;3187;3122
000000000000585802;3180;51
000000000000639787;3223;64
000000000000638517;3193;84
000000000000901361;3225;74
000000000000503540;3093;548
000000000000640143;3092;63
000000000639107001;3088;24
000000000000062389;3172;59
000000000000579749;3092;348
000000000401724010;3098;3578
000000000000169937;3089;40
000000000000666015;3092;46
000000000000168302;3094;101
000000000000052387;3094;887
000000000000188148;3211;1973
000000000000062471;3211;83
000000000000171547;3225;48
000000000000017664;3092;53
000000000000663244;3089;66
000000000000216012;3180;92
000000000000759658;3093;106
000000000000006557;3091;43
000000000000625676;3180;1063
000000000000191247;3098;29
000000000000217412;3074;77
000000000000638276;3085;15
000000000000661945;3223;171
000000000000625402;3088;76
000000000000638621;3094;27
000000000000650198;3088;129
